Model,Accuracy,F1-Score
KNN+BERT,95.5,95.2
XGBoost+BERT,95.5,95.3
RandomForest+BERT,94.0,93.8
SVC+BERT,97.5,97.4
LR+BERT,96.5,96.2
NeuralNetwork+BERT,95.5,95.3
KNN+GloVe,92.5,92.0
XGBoost+GloVe,96.0,95.7
RandomForest+GloVe,93.5,93.2
SVC+GloVe,98.5,98.4
LR+GloVe,98.5,98.4
NeuralNetwork+GloVe,92.5,91.4
KNN+Word2Vec,89.0,87.8
XGBoost+Word2Vec,96.0,95.6
RandomForest + Word2Vec,94.5,94.1
SVC+Word2Vec,98.5,98.4
LR+Word2Vec,98.0,97.9
NeuralNetwork+Word2Vec,97.5,97.3
KNN+GPT2,96.5,96.2
XGBoost+GPT2,98.0,97.8
RandomForest+GPT2,96.0,95.7
SVC+GPT2,99.5,99.5
LR+GPT2,99.0,98.9
NeuralNetwork+GPT2,98.5,98.4
KNN+RoBERTa,99.0,98.9
XGBoost+RoBERTa,100.0,100.0
RandomForest+RoBERTa,98.0,97.8
SVC+RoBERTa,100.0,100.0
LR+RoBERTa,100.0,100.0
NeuralNetwork+RoBERTa,100.0,100.0
